profile,userid,genres.Action,genres.Adventure,genres.Comedy,genres.Demons,genres.Drama,genres.Fantasy,genres.Game,genres.Historical,genres.Horror,genres.Magic,genres.Mecha,genres.Military,genres.Music,genres.Mystery,genres.Parody,genres.Police,genres.Psychological,genres.Romance,genres.School,genres.Sci-Fi,genres.Seinen,genres.Shoujo,genres.Shounen,genres.Slice of Life,genres.Space,genres.Sports,genres.Super Power,genres.Supernatural,genres.Thriller
Xiaraith,7012,37,22,9,0,11,2,1,1,0,0,68,15,2,1,2,6,5,2,3,55,3,1,12,2,16,1,1,0,0
Lex4709,7013,1,3,23,0,9,2,0,1,0,1,1,0,4,1,1,0,0,10,11,2,1,3,3,44,1,1,1,2,1
Avirockstar,7014,1,1,9,0,6,6,3,0,0,3,0,0,63,0,0,0,0,3,4,2,0,3,1,6,0,1,0,2,0
Altair_Nair,7015,17,14,22,3,9,32,1,3,0,51,1,1,1,1,0,0,0,11,4,4,0,15,9,8,0,0,1,10,0
Phiore,7016,57,22,18,1,14,15,4,3,1,5,8,8,2,4,1,0,0,6,7,15,5,0,20,0,3,5,6,5,0
Kalibab,7017,26,23,19,5,13,63,2,3,3,14,2,3,4,6,0,1,3,5,5,12,3,4,16,6,0,0,7,8,1
MrSonicFan34,7018,99,32,20,7,19,24,3,1,7,7,21,10,1,9,1,7,10,11,6,42,8,4,24,4,6,6,10,19,2
Melchiorus,7019,14,5,47,3,20,6,3,1,4,5,2,3,5,4,4,0,1,28,99,9,12,8,26,28,0,13,3,16,0
KCEverdeen,7020,6,2,5,1,7,6,3,2,0,3,2,1,95,0,1,0,1,5,6,11,0,6,4,8,1,4,0,0,0
BasketCookie,7021,2,1,34,0,10,4,1,3,0,1,0,0,6,1,2,0,1,7,23,1,7,3,6,57,0,2,0,5,0
kam1kazekid,7022,50,25,21,1,21,6,2,1,0,2,84,18,2,2,6,4,4,10,5,68,1,1,18,0,15,3,8,4,0
otakukunkou,7023,15,16,70,0,6,12,2,3,0,6,3,0,6,5,5,3,0,9,12,10,6,5,12,13,1,4,3,1,0
Katrov,7024,5,4,40,1,3,2,1,2,1,3,1,2,0,2,5,1,0,5,8,2,7,2,6,9,0,2,0,5,0
0xA1E1BA,7025,1,2,23,0,4,3,0,2,0,0,0,0,2,0,1,0,0,5,8,1,9,3,3,35,0,0,0,2,0
EMChamp,7026,32,29,35,7,11,81,3,7,1,20,1,3,4,2,2,0,0,11,1,7,3,7,11,7,0,0,3,14,0
Shadowarrow64,7027,15,20,22,1,93,17,1,9,1,7,8,10,9,9,0,2,11,29,15,15,10,12,16,18,6,7,1,11,3
Blackfire,7028,47,25,22,1,25,9,3,3,3,6,31,17,3,4,4,3,3,9,3,87,4,3,13,3,16,1,5,1,0
TokyoCrazyPXD,7029,83,28,26,5,13,21,2,5,1,7,14,6,4,8,3,1,1,11,8,31,5,1,25,1,7,6,14,11,1
Sinton,7030,10,2,21,0,15,2,0,1,0,0,0,0,2,0,1,0,0,2,13,3,2,2,25,4,0,49,1,0,0
Myuuzaki,7031,25,17,23,2,16,6,1,4,9,2,3,3,1,71,1,16,9,7,6,11,9,4,18,2,1,0,7,16,8
Victorian,7032,5,1,11,0,3,6,2,1,0,1,1,1,87,0,1,0,1,4,3,7,1,5,0,4,3,1,0,2,0
Cartodog,7033,8,9,9,2,12,6,0,38,0,2,1,3,0,8,1,0,0,9,0,3,6,1,3,5,0,0,0,7,0
StasiiGappoeva,7034,9,0,12,0,10,2,2,0,0,1,4,2,93,1,0,0,0,3,6,7,2,2,1,9,7,2,1,2,0
OrangeMilk,7035,50,93,32,3,20,38,2,5,0,9,16,8,2,5,0,4,1,11,1,34,5,2,29,3,4,2,4,9,0
Lanciare,7036,13,6,47,1,15,9,3,1,1,6,3,1,4,6,0,0,0,23,79,7,5,8,20,20,2,13,4,9,1
PBz0r,7037,12,14,11,3,61,11,0,8,2,3,4,5,4,4,0,0,3,13,4,15,2,4,9,13,8,4,0,5,1
deepak300_,7038,51,18,19,2,10,16,2,2,1,5,13,7,1,5,1,1,1,3,3,19,6,1,14,0,1,2,4,6,0
elperrito999,7039,38,93,24,5,20,36,0,12,2,14,17,1,2,6,1,5,1,6,1,26,2,2,25,3,10,0,7,12,0
AgentJames,7040,65,24,18,3,18,12,2,4,2,2,13,6,2,1,0,1,3,4,4,33,5,2,18,1,6,5,10,9,0
nuestren22,7041,18,15,21,4,9,8,0,4,1,6,4,0,0,4,2,2,0,7,8,9,0,0,37,2,1,5,4,7,0
Linollieum,7042,12,11,64,1,6,11,1,3,1,1,2,1,3,9,6,3,1,9,10,5,5,1,15,10,0,3,5,5,1
Lushix,7043,4,1,48,0,23,8,1,7,0,1,1,0,12,0,5,0,1,9,19,4,12,8,8,94,0,3,0,5,0
Negoescu_Mihnea,7044,41,14,8,2,5,11,3,1,1,7,12,8,1,0,0,1,0,2,3,21,1,2,10,1,3,0,4,4,0
Lazaforth,7045,49,23,14,1,37,0,2,1,3,1,38,30,2,1,3,2,1,14,0,83,6,0,11,2,90,0,2,1,0
